縣市,行政區,租賃年月日,建物型態,主要用途,租賃層次,總樓層數,建築完成年月,建物面積平方公尺,建物面積坪,房,廳,衛,有無隔間,有無傢俱,有無電梯,出租型態,月租金元,每坪月租金元,案件編號
臺北市,信義區,1140816,華廈(10層含以下有電梯),住家用,三層,5,0801016,82.13,24.84,2,2,2,有,無,有,整棟(戶)出租,30000,1208.0,RPRPMLSKQHKGFDA88CC
臺北市,士林區,1140813,公寓(5樓含以下無電梯),住家用,三層,5,0680618,69.22,20.94,4,1,1,有,有,無,整棟(戶)出租,25000,1194.0,RPQNMLSKQHKGFEA68CC
臺北市,士林區,1140811,公寓(5樓含以下無電梯),住家用,三層,5,0700131,97.51,29.5,3,2,1,有,無,無,整棟(戶)出租,19000,644.0,RPRNMLSKQHKGFEA78CC
臺北市,士林區,1140814,華廈(10層含以下有電梯),住家用,三層,10,0851029,41.14,12.44,2,1,1,有,有,有,整棟(戶)出租,15000,1205.0,RPSNMLSKQHKGFEA88CC
臺北市,北投區,1140814,住宅大樓(11層含以上有電梯),住家用,四層,13,0860122,34.26,10.36,1,1,1,有,有,有,獨立套房,18000,1737.0,RPVNMLSKQHKGFEA56CC
臺北市,士林區,1140814,公寓(5樓含以下無電梯),住家用,二層,5,0671129,125.1,37.84,3,2,2,有,有,無,整棟(戶)出租,35000,925.0,RPXNMLSKQHKGFEA76CC
臺北市,文山區,1140815,華廈(10層含以下有電梯),住家用,八層,10,0970508,43.01,13.01,1,1,1,有,有,有,獨立套房,19900,1530.0,RPPNMLTKQHKGFAA28CC
臺北市,文山區,1140819,住宅大樓(11層含以上有電梯),住家用,六層,14,0870910,115.99,35.09,3,2,2,有,有,有,整棟(戶)出租,47000,1340.0,RPVNMLTKQHKGFAA88CC
臺北市,中正區,1140815,華廈(10層含以下有電梯),住家用,五層,7,0701119,27.63,8.36,1,1,1,有,有,有,獨立套房,19700,2357.0,RPWNMLTKQHKGFAA98CC
臺北市,文山區,1140818,華廈(10層含以下有電梯),住家用,四層,6,0840105,79.78999999999999,24.14,2,2,1,有,有,有,整棟(戶)出租,23000,953.0,RPXNMLTKQHKGFAA09CC
臺北市,文山區,1140815,公寓(5樓含以下無電梯),住家用,二層,3,0571120,94.3,28.53,3,2,1,有,有,無,整棟(戶)出租,26000,911.0,RPOOMLTKQHKGFAA28CC
臺北市,中正區,1140815,華廈(10層含以下有電梯),住家用,五層,7,0720203,33.410000000000004,10.11,1,1,1,有,有,有,獨立套房,19000,1880.0,RPRNMLTKQHKGFBA58CC
臺北市,萬華區,1140813,公寓(5樓含以下無電梯),住家用,四層,4,0611215,112.69,34.09,3,2,2,有,有,無,整棟(戶)出租,31200,915.0,RPSNMLTKQHKGFBA68CC
臺北市,大同區,1140819,公寓(5樓含以下無電梯),住家用,五層,5,0601006,74.66,22.58,4,2,1,有,無,無,整棟(戶)出租,15000,664.0,RPUNMLTKQHKGFBA88CC
臺北市,大同區,1140816,公寓(5樓含以下無電梯),住家用,二層,4,0590415,27.16,8.22,3,0,3,有,有,無,分租套房,14900,1814.0,RPPOMLTKQHKGFBA48CC
臺北市,中山區,1140815,華廈(10層含以下有電梯),住家用,二層,7,0681219,20.43,6.18,4,0,4,有,有,有,分租套房,14500,2346.0,RPQNMLTKQHKGFCA58CC
臺北市,中山區,1140815,華廈(10層含以下有電梯),住家用,二層,7,0681219,20.43,6.18,4,0,4,有,有,有,分租套房,14500,2346.0,RPRNMLTKQHKGFCA68CC
臺北市,內湖區,1140814,公寓(5樓含以下無電梯),住家用,一層,3,0750818,131.25,39.7,4,2,2,有,無,無,整棟(戶)出租,26000,655.0,RPSNMLTKQHKGFCA78CC
臺北市,中山區,1140812,公寓(5樓含以下無電梯),住家用,二層,4,0581028,63.76,19.29,3,1,1,有,有,無,整棟(戶)出租,29000,1504.0,RPXNMLTKQHKGFCA66CC
臺北市,內湖區,1140818,公寓(5樓含以下無電梯),住家用,一層,5,0731218,104.24,31.53,2,1,1,有,無,無,,34133,1082.0,RPUOMLTKQHKGFCA09CC
臺北市,中山區,1140819,華廈(10層含以下有電梯),住家用,三層,7,0690314,43.61,13.19,1,0,1,有,有,有,獨立套房,14000,1061.0,RPWOMLTKQHKGFCA66CC
臺北市,信義區,1140811,住宅大樓(11層含以上有電梯),住家用,十四層,25,0931130,108.07,32.69,1,1,1,有,有,有,獨立套房,120000,3671.0,RPPNMLTKQHKGFDA58CC
臺北市,信義區,1140811,住宅大樓(11層含以上有電梯),住家用,十七層,25,0931130,108.07,32.69,1,1,1,有,有,有,獨立套房,120000,3671.0,RPQNMLTKQHKGFDA68CC
臺北市,信義區,1140811,住宅大樓(11層含以上有電梯),住家用,十九層,25,0931130,108.07,32.69,1,1,1,有,有,有,獨立套房,120000,3671.0,RPRNMLTKQHKGFDA78CC
臺北市,信義區,1140815,公寓(5樓含以下無電梯),住家用,一層,5,0680904,21.63,6.54,6,0,4,有,有,無,分租套房,15500,2369.0,RPWNMLTKQHKGFDA66CC
臺北市,南港區,1140815,公寓(5樓含以下無電梯),住家用,五層,5,0721122,118.60000000000001,35.88,3,2,2,有,有,無,整棟(戶)出租,15000,418.0,RPXNMLTKQHKGFDA76CC
臺北市,信義區,1140815,公寓(5樓含以下無電梯),住家用,二層,5,0740803,97.60999999999999,29.53,3,2,2,有,有,無,整棟(戶)出租,30000,1016.0,RPPOMLTKQHKGFDA68CC
臺北市,信義區,1140815,公寓(5樓含以下無電梯),住家用,四層,4,0630627,88.66,26.82,3,2,2,有,有,無,整棟(戶)出租,31200,1163.0,RPSOMLTKQHKGFDA98CC
臺北市,松山區,1140814,華廈(10層含以下有電梯),住家用,十層,10,0850517,26.560000000000002,8.03,1,1,1,有,有,有,獨立套房,16000,1991.0,RPVOMLTKQHKGFDA66CC
臺北市,信義區,1140815,住宅大樓(11層含以上有電梯),住家用,四層,15,0990901,130.79,39.56,2,2,2,有,有,有,整棟(戶)出租,100510,2540.0,RPSPMLTKQHKGFDA09CC
臺北市,信義區,1140815,住宅大樓(11層含以上有電梯),住家用,三層,15,0990901,106.00999999999999,32.07,2,2,1,有,有,有,整棟(戶)出租,97888,3053.0,RPTPMLTKQHKGFDA56CC
臺北市,士林區,1140818,公寓(5樓含以下無電梯),住家用,二層,5,0690320,140.63,42.54,3,1,2,有,有,無,整棟(戶)出租,25000,588.0,RPPNMLTKQHKGFEA68CC
臺北市,北投區,1140818,住宅大樓(11層含以上有電梯),住家用,一層,11,0780921,42.760000000000005,12.93,1,1,1,有,有,有,整棟(戶)出租,12000,928.0,RPQNMLTKQHKGFEA78CC
臺北市,士林區,1140812,公寓(5樓含以下無電梯),住家用,三層,3,0580122,65.03,19.67,3,1,1,有,有,無,整棟(戶)出租,23800,1210.0,RPTNMLTKQHKGFEA09CC
臺北市,北投區,1140815,華廈(10層含以下有電梯),住家用,七層,8,0690821,35.42,10.71,1,1,1,有,有,有,獨立套房,13650,1274.0,RPVNMLTKQHKGFEA66CC
臺北市,大安區,1140815,華廈(10層含以下有電梯),住家用,五層,6,0960913,22.619999999999997,6.84,1,1,1,有,有,有,獨立套房,16500,2411.0,RPRNMLTKQHKGFFA98CC
臺北市,文山區,1140814,華廈(10層含以下有電梯),集合住宅,七層,7,0720728,46.02,13.92,1,1,1,有,無,有,獨立套房,15000,1078.0,RPVNMLKLQHKGFAA08CC
臺北市,中正區,1140814,公寓(5樓含以下無電梯),住家用,五層,5,,25.63,7.75,1,0,1,有,有,無,獨立套房,9500,1225.0,RPWNMLKLQHKGFAA18CC
臺北市,文山區,1140814,華廈(10層含以下有電梯),集合住宅,七層,8,0920114,133.85,40.49,3,2,2,有,無,有,整棟(戶)出租,30000,741.0,RPXNMLKLQHKGFAA28CC
臺北市,文山區,1140815,住宅大樓(11層含以上有電梯),住家用,十二層,13,0831108,38.95,11.78,1,1,1,有,有,有,獨立套房,12000,1018.0,RPOOMLKLQHKGFAA47CC
臺北市,文山區,1140818,公寓(5樓含以下無電梯),住家用,四層,5,0720905,91.64,27.72,3,1,2,有,有,無,整棟(戶)出租,24000,866.0,RPPOMLKLQHKGFAA57CC
臺北市,中正區,1140818,住宅大樓(11層含以上有電梯),集合住宅,四層,13,0960906,35.86,10.85,1,0,1,有,有,有,獨立套房,22000,2028.0,RPROMLKLQHKGFAA77CC
臺北市,中正區,1140815,公寓(5樓含以下無電梯),住家用,四層,4,,69.96,21.16,2,1,1,有,無,無,整棟(戶)出租,24000,1134.0,RPTOMLKLQHKGFAA97CC
臺北市,中正區,1140816,住宅大樓(11層含以上有電梯),住家用,七層,12,0750805,35.39,10.71,1,0,1,有,有,有,獨立套房,18900,1765.0,RPRNMLKLQHKGFBA77CC
臺北市,萬華區,1140814,公寓(5樓含以下無電梯),住家用,四層,4,0590211,51.71,15.64,2,2,1,有,有,無,整棟(戶)出租,15000,959.0,RPSNMLKLQHKGFBA87CC
臺北市,萬華區,1140815,公寓(5樓含以下無電梯),住家用,四層,5,0640403,31.18,9.43,1,1,1,有,有,無,獨立套房,18000,1908.0,RPTNMLKLQHKGFBA97CC
臺北市,萬華區,1140815,住宅大樓(11層含以上有電梯),第２組：多戶住宅（Ｈ２）,六層,23,1121019,115.4,34.91,2,2,1,有,有,有,整棟(戶)出租,20000,573.0,RPUNMLKLQHKGFBA08CC
臺北市,萬華區,1140818,公寓(5樓含以下無電梯),住家用,四層,5,0640508,48.76,14.75,2,2,1,有,有,無,整棟(戶)出租,18000,1220.0,RPWNMLKLQHKGFBA28CC
