樣本編號,性別,年齡,地區代碼,教育程度,是否完成學業,抽樣權數
244228,Female,19,1,College (continue with 6a2),"No, I am still a student",0.831846965580071
251113,Female,22,1,College (continue with 6a2),"Yes, I graduated",0.878060569785044
251125,Male,19,1,College (continue with 6a2),"No, I am still a student",0.878060569785044
251134,Female,19,1,Five-year junior college,"No, I am still a student",0.878060569785044
269113,Male,23,1,College (continue with 6a2),"Yes, I graduated",0.883624785883926
269122,Male,19,1,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",0.883624785883926
300102,Male,19,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.774887731672533
300105,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.774887731672533
300115,Female,20,2,Comprehensive senior high school (continue with 6a1),"Yes, I graduated",0.774887731672533
300208,Female,22,2,Master's degree (continue with 6a2),"No, I am still a student",0.774887731672533
300224,Female,22,2,College (continue with 6a2),Not applicable,0.774887731672533
300232,Female,19,2,Junior high school,"Yes, I graduated",0.774887731672533
300240,Male,21,2,Vocational senior high school (continue with 6a1),"Yes, I graduated",0.774887731672533
302107,Female,20,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.96337362953165
302135,Male,23,2,Master's degree (continue with 6a2),"Yes, I graduated",0.96337362953165
302203,Male,19,2,College (continue with 6a2),"No, I am still a student",0.96337362953165
302212,Female,19,2,College (continue with 6a2),"No, I am still a student",0.96337362953165
302217,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)",Not applicable,0.96337362953165
302229,Female,21,2,College (continue with 6a2),"No, I am still a student",0.96337362953165
302232,Female,23,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",0.96337362953165
324102,Female,24,2,Junior high school,"Yes, I graduated",1.11236804353596
324105,Female,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
324112,Male,22,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
324118,Male,20,2,"Institute of technology, science and technological college (continue with 6a2)","No, I am still a student",1.11236804353596
324209,Female,24,2,Master's degree (continue with 6a2),"Yes, I graduated",1.11236804353596
324222,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
324225,Female,23,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
326126,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
326127,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","Yes, I graduated",1.11236804353596
326211,Male,24,2,"Institute of technology, science and technological college (continue with 6a2)","No, I didn't graduate",1.11236804353596
326218,Female,19,2,College (continue with 6a2),Not applicable,1.11236804353596
326229,Female,19,2,College (continue with 6a2),Not applicable,1.11236804353596
326231,Female,19,2,Senior high school (continue with 6a1),"No, I am still a student",1.11236804353596
